Date,Open,High,Low,Close
19451015,16.59,16.59,16.59,16.59
19451016,16.59,16.59,16.59,16.59
19451017,16.66,16.66,16.66,16.66
19451018,16.719999,16.719999,16.719999,16.719999
19451019,16.59,16.59,16.59,16.59
19451022,16.709999,16.709999,16.709999,16.709999
19451023,16.58,16.58,16.58,16.58
19451024,16.33,16.33,16.33,16.33
19451025,16.41,16.41,16.41,16.41
19451026,16.49,16.49,16.49,16.49
19451029,16.299999,16.299999,16.299999,16.299999
19451030,16.379999,16.379999,16.379999,16.379999
19451031,16.65,16.65,16.65,16.65
19451101,16.870001,16.870001,16.870001,16.870001
19451102,16.860001,16.860001,16.860001,16.860001
19451105,16.940001,16.940001,16.940001,16.940001
19451107,17.139999,17.139999,17.139999,17.139999
19451108,17.08,17.08,17.08,17.08
19451109,17.1,17.1,17.1,17.1
19451113,17.040001,17.040001,17.040001,17.040001
19451114,16.950001,16.950001,16.950001,16.950001
19451115,17.08,17.08,17.08,17.08
19451116,17.0,17.0,17.0,17.0
19451119,17.190001,17.190001,17.190001,17.190001
19451120,17.27,17.27,17.27,17.27
19451121,17.02,17.02,17.02,17.02
19451123,16.85,16.85,16.85,16.85
19451126,16.940001,16.940001,16.940001,16.940001
19451127,17.15,17.15,17.15,17.15
19451128,17.059999,17.059999,17.059999,17.059999
19451129,17.030001,17.030001,17.030001,17.030001
19451130,17.190001,17.190001,17.190001,17.190001
19451203,17.440001,17.440001,17.440001,17.440001
19451204,17.42,17.42,17.42,17.42
19451205,17.41,17.41,17.41,17.41
19451206,17.5,17.5,17.5,17.5
19451207,17.540001,17.540001,17.540001,17.540001
19451210,17.68,17.68,17.68,17.68
19451211,17.639999,17.639999,17.639999,17.639999
19451212,17.370001,17.370001,17.370001,17.370001
19451213,17.290001,17.290001,17.290001,17.290001
19451214,17.309999,17.309999,17.309999,17.309999
19451217,16.940001,16.940001,16.940001,16.940001
19451218,17.1,17.1,17.1,17.1
19451219,17.1,17.1,17.1,17.1
19451220,16.99,16.99,16.99,16.99
19451221,16.98,16.98,16.98,16.98
19451226,17.41,17.41,17.41,17.41
19451227,17.280001,17.280001,17.280001,17.280001
19451228,17.309999,17.309999,17.309999,17.309999
19451231,17.360001,17.360001,17.360001,17.360001
19460102,17.25,17.25,17.25,17.25
19460103,17.27,17.27,17.27,17.27
19460104,17.23,17.23,17.23,17.23
19460107,17.309999,17.309999,17.309999,17.309999
19460108,17.690001,17.690001,17.690001,17.690001
19460109,17.950001,17.950001,17.950001,17.950001
19460110,18.07,18.07,18.07,18.07
19460111,18.129999,18.129999,18.129999,18.129999
19460114,18.33,18.33,18.33,18.33
19460115,18.360001,18.360001,18.360001,18.360001
19460116,18.379999,18.379999,18.379999,18.379999
19460117,18.34,18.34,18.34,18.34
19460118,18.299999,18.299999,18.299999,18.299999
19460121,17.74,17.74,17.74,17.74
19460122,17.860001,17.860001,17.860001,17.860001
19460123,18.07,18.07,18.07,18.07
19460124,18.120001,18.120001,18.120001,18.120001
19460125,18.09,18.09,18.09,18.09
19460128,18.620001,18.620001,18.620001,18.620001
19460129,18.67,18.67,18.67,18.67
19460130,18.559999,18.559999,18.559999,18.559999
19460131,18.57,18.57,18.57,18.57
19460201,18.639999,18.639999,18.639999,18.639999
19460204,18.620001,18.620001,18.620001,18.620001
19460205,18.700001,18.700001,18.700001,18.700001
19460206,18.57,18.57,18.57,18.57
19460207,18.57,18.57,18.57,18.57
19460208,18.549999,18.549999,18.549999,18.549999
19460211,18.24,18.24,18.24,18.24
19460213,17.98,17.98,17.98,17.98
19460214,18.09,18.09,18.09,18.09
19460215,18.440001,18.440001,18.440001,18.440001
19460218,18.379999,18.379999,18.379999,18.379999
19460219,17.700001,17.700001,17.700001,17.700001
19460220,17.370001,17.370001,17.370001,17.370001
